代码,名称,涨幅%,现价,涨跌,涨速%,主力净量,总手,换手%,量比,所属行业,振幅%,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,总金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
885737,电子竞技,-5.62,864.271,-51.464,-0.02,-5.22,695468690,--,1.61,--,6.92,4695650--,917.429,915.735,918.253,854.839,--,--,--,--,--,--,--,11676638100,22219.08,525523,1323,--,--,5.65534E+11,--,--
885706,农机,-5.62,839.722,-50.003,-0.12,-0.87,175228520,--,1.97,--,6.71,2292300--,888.746,889.725,890.348,830.647,--,--,--,--,--,--,--,1941140800,19200.21,101100,1733,--,--,1.12317E+11,--,--
885333,移动支付,-5.62,1764.623,-105.086,-0.03,-1.78,1359668100,--,2.01,--,6.74,6192100--,1871.281,1869.709,1874.851,1748.858,--,--,--,--,--,--,--,23366600000,24267.1,962892,1412,--,--,7.36868E+11,--,--
885378,智慧城市,-5.66,3829.748,-229.756,-0.06,-4.25,1949415000,--,1.64,--,6.73,30400--,4065.04,4059.504,4070.895,3797.515,--,--,--,--,--,--,--,35742450000,24203.85,1476726,1320,--,--,1.12615E+12,--,--
885552,小金属,-5.66,1799.089,-108.03,-0.04,-4.63,2475626600,--,1.72,--,7.48,12447600--,1909.463,1907.119,1910.298,1767.74,--,--,--,--,--,--,--,29608977000,20229.82,1463630,1691,--,--,8.3982E+11,--,--
885559,超导,-5.67,2453.679,-147.465,-0.02,-3.57,518118060,--,1.15,--,7.48,858300--,2595.542,2601.144,2598.543,2404.057,--,--,--,--,--,--,--,5643406300,17425.83,323853,1600,--,--,1.58883E+11,--,--
885554,金融IC,-5.69,2554.465,-154.132,-0.04,-6.46,621786710,--,1.77,--,7.07,3641470--,2711.048,2708.597,2724.72,2533.183,--,--,--,--,--,--,--,12017709600,24464.23,491236,1266,--,--,2.59351E+11,--,--
885509,尾气治理,-5.69,1292.191,-78.003,-0.08,-3.87,198074530,--,1.4,--,6.96,48150--,1371.466,1370.194,1374.011,1278.685,--,--,--,--,--,--,--,3511936400,23905.85,146907,1348,--,--,1.2594E+11,--,--
885536,智能电视,-5.7,1329.027,-80.408,-0.05,-1.56,1232111220,--,1.95,--,6.77,5650170--,1409.224,1409.435,1411.549,1316.13,--,--,--,--,--,--,--,11212569200,22405.15,500446,2462,--,--,4.79997E+11,--,--
885544,新材料概念,-5.78,2121.832,-130.075,-0.01,-6.49,3325946400,--,1.55,--,7.08,18400--,2254.136,2251.907,2257.08,2097.685,--,--,--,--,--,--,--,44553675000,20308.4,2193855,1516,--,--,1.23157E+12,--,--
885537,3D打印,-5.8,2101.257,-129.323,-0.03,-3.04,989526030,--,1.48,--,6.68,34700--,2230.217,2230.58,2231.797,2082.753,--,--,--,--,--,--,--,13977265000,20798.42,672035,1472,--,--,6.05183E+11,--,--
885639,高送转,-5.8,1288.651,-79.334,-0.04,-4.65,4146526600,--,1.49,--,6.88,1069300--,1367.012,1367.985,1367.188,1273.109,--,--,--,--,--,--,--,56480049000,19504.54,2895739,1432,--,--,2.2499E+12,--,--
885736,无人驾驶,-5.81,1299.022,-80.198,0.04,-4.38,911745850,--,1.59,--,7.23,7206450--,1382.344,1379.22,1383.844,1284.094,--,--,--,--,--,--,--,18817548000,22975.55,819025,1113,--,--,6.33273E+11,--,--
885732,电子信息,-5.86,1200.835,-74.808,-0.03,-5.21,3721080400,--,1.7,--,7.01,94400--,1276.057,1275.643,1277.928,1188.544,--,--,--,--,--,--,--,67922996000,24384.47,2785502,1336,--,--,1.84832E+12,--,--
